Timestamp,What's your gender? ,What's your age? ,What's your field of study?,What's your current academic year? ,GPA in last semester,1. I do not do assignments until just before they are to be handed in.,"2. I continually say ""I'll do this task tomorrow"".",3. Procrastination on a task affects my scores of that task., 4. I procrastinate because the task is difficult for me.  ,5. Finishing academic tasks before last minutes of deadlines gives me a lot pressures.  ,6. I cannot control shifting attention to other more pleasurable activities when working on academic task.   ,7. I feel guilty about my procrastinations on academic tasks.,8. I am not motivated to do academic tasks.  ,9. I can receive better grade if I started earlier on academic tasks.  ,10. I am afraid of the consequences of procrastinating  academic tasks.
4/19/2026 0:26:28,Male,21-23,Computer Science / IT,3rd Year,2.5–3.0,Strongly agree,Agree,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Agree
4/19/2026 0:30:55,Male,21-23,Computer Science / IT,3rd Year,3.5- 4.0,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Neutral
4/19/2026 0:32:30,Male,21-23,Computer Science / IT,2nd Year,3.5- 4.0,Strongly agree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral
4/19/2026 0:33:41,Male,21-23,Computer Science / IT,3rd Year,2.5–3.0,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
4/19/2026 0:34:20,Male,24-26,Computer Science / IT,2nd Year,2.5–3.0,Agree,Agree,Neutral,Disagree,Strongly agree,Neutral,Agree,Disagree,Agree,Agree
4/19/2026 0:36:14,Male,18-20,Medical / Biology,2nd Year,3.0–3.5,Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly agree,Strongly agree
4/19/2026 0:38:05,Male,21-23,CDPM ,1st Year,2.5–3.0,Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Agree,Strongly disagree,Neutral,Strongly disagree
4/19/2026 0:42:40,Male,18-20,Computer Science / IT,2nd Year,2.5–3.0,Strongly agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree
4/19/2026 3:49:58,Male,21-23,Medical / Biology,3rd Year,3.0–3.5,Strongly agree,Strongly Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly agree,Agree,Strongly disagree
4/19/2026 6:17:28,Male,24-26,Medical / Biology,5th Year,3.0–3.5,Neutral,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree
4/19/2026 8:59:59,Male,18-20,Engineering,2nd Year,2.5–3.0,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree
4/19/2026 10:33:42,Female,18-20,Medical / Biology,3rd Year,3.0–3.5,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Neutral
4/19/2026 13:49:43,Male,24-26,Arts / Humanities,5th Year,3.5- 4.0,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly disagree,Strongly disagree,Neutral
4/19/2026 13:56:41,Male,21-23,Medical / Biology,3rd Year,3.5- 4.0,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Agree
4/19/2026 18:57:17,Male,24-26,Computer Science / IT,3rd Year,3.0–3.5,Strongly Disagree,Agree,Strongly disagree,Strongly Disagree,Strongly disagree,Strongly Agree,Neutral,Neutral,Strongly agree,Agree
4/19/2026 18:57:43,Male,21-23,Medical / Biology,3rd Year,3.0–3.5,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Neutral,Neutral,Agree
4/20/2026 19:22:51,Female,27+,Arts / Humanities,4th Year,3.0–3.5,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Neutral,Agree,Strongly disagree,Neutral,Agree
4/20/2026 19:27:38,Male,18-20,Computer Science / IT,4th Year,2.5–3.0,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Neutral
4/20/2026 19:51:03,Male,21-23,Engineering,2nd Year,3.0–3.5,Strongly Disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree
4/20/2026 19:51:49,Female,18-20,Computer Science / IT,4th Year,3.0–3.5,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree
4/20/2026 20:05:32,Male,18-20,Engineering,2nd Year,2.5–3.0,Agree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Agree,Disagree
4/20/2026 20:21:09,Female,21-23,Arts / Humanities,5th Year,3.0–3.5,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Neutral
4/20/2026 20:30:22,Female,21-23,Arts / Humanities,5th Year,2.5–3.0,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Neutral
4/20/2026 20:34:25,Female,24-26,Textile ,5th Year,3.5- 4.0,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Disagree
4/20/2026 20:36:25,Male,18-20,Computer Science / IT,3rd Year,2.5–3.0,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Strongly agree,Strongly agree
4/20/2026 21:29:05,Female,24-26,Textile and fashion designing ,5th Year,3.0–3.5,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree
4/20/2026 22:02:08,Male,21-23,Computer Science / IT,4th Year,3.0–3.5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
4/22/2026 8:00:19,Female,18-20,Computer Science / IT,3rd Year,3.5- 4.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree
4/22/2026 8:01:31,Female,18-20,Computer Science / IT,3rd Year,3.5- 4.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree
4/29/2026 20:16:33,Male,21-23,Computer Science / IT,4th Year,2.5–3.0,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral
4/29/2026 20:23:19,Male,21-23,Computer Science / IT,3rd Year,3.0–3.5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
4/29/2026 20:24:45,Male,21-23,Computer Science / IT,2nd Year,3.0–3.5,Agree,Agree,Disagree,Neutral,Strongly disagree,Neutral,Agree,Neutral,Neutral,Neutral
4/29/2026 20:26:31,Female,21-23,Computer Science / IT,3rd Year,3.5- 4.0,Neutral,Neutral,Agree,Disagree,Strongly disagree,Neutral,Agree,Disagree,Neutral,Agree
4/29/2026 20:29:12,Female,21-23,Computer Science / IT,4th Year,3.0–3.5,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,Agree
4/29/2026 20:29:14,Male,21-23,Computer Science / IT,3rd Year,3.5- 4.0,Strongly agree,Neutral,Disagree,Disagree,Strongly disagree,Disagree,Strongly Disagree,Strongly agree,Agree,Strongly disagree
4/29/2026 20:31:24,Male,21-23,Computer Science / IT,3rd Year,3.0–3.5,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Strongly agree,Neutral
4/29/2026 20:50:19,Female,18-20,Computer Science / IT,3rd Year,3.5- 4.0,Strongly Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly Agree,Agree,Neutral,Agree,Strongly agree
4/29/2026 20:53:14,Male,21-23,Computer Science / IT,4th Year,Below 2.5,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree
4/29/2026 20:57:07,Female,21-23,Computer Science / IT,3rd Year,3.0–3.5,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Disagree
4/29/2026 21:01:28,Female,18-20,Computer Science / IT,1st Year,3.5- 4.0,Strongly agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree
4/29/2026 21:27:59,Male,18-20,Computer Science / IT,2nd Year,3.0–3.5,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral
4/29/2026 21:51:25,Male,21-23,Computer Science / IT,3rd Year,3.0–3.5,Strongly agree,Strongly Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree
4/30/2026 9:57:35,Male,18-20,Computer Science / IT,2nd Year,3.0–3.5,Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly agree,Neutral,Strongly agree,Strongly agree
4/30/2026 9:58:44,Male,21-23,Computer Science / IT,2nd Year,2.5–3.0,Strongly agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Strongly disagree,Strongly agree,Agree
4/30/2026 10:02:56,Male,21-23,Computer Science / IT,1st Year,3.0–3.5,Agree,Strongly Agree,Strongly agree,Agree,Agree,Strongly Agree,Strongly agree,Strongly disagree,Strongly agree,Agree
4/30/2026 10:13:21,Male,21-23,Computer Science / IT,2nd Year,Below 2.5,Strongly agree,Strongly Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree
4/30/2026 14:06:03,Male,21-23,Computer Science / IT,1st Year,3.5- 4.0,Strongly agree,Strongly Agree,Strongly agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree
5/1/2026 12:00:09,Male,21-23,Arts / Humanities,4th Year,2.5–3.0,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree
5/1/2026 12:02:45,Female,21-23,Computer Science / IT,3rd Year,3.0–3.5,Agree,Neutral,Agree,Neutral,Strongly disagree,Agree,Strongly Disagree,Strongly agree,Strongly agree,Agree
5/1/2026 12:06:32,Male,21-23,BS English ,3rd Year,Below 2.5,Neutral,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Disagree,Disagree,Strongly disagree,Disagree
5/1/2026 12:17:21,Male,21-23,Computer Science / IT,4th Year,3.0–3.5,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Agree
5/1/2026 12:18:30,Female,21-23,Computer Science / IT,3rd Year,3.0–3.5,Strongly agree,Strongly Agree,Strongly disagree,Strongly Disagree,Strongly disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly disagree
5/1/2026 12:24:14,Male,21-23,electrical engineering power ,1st Year,3.0–3.5,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly disagree,Strongly Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
5/1/2026 12:29:04,Male,18-20,Engineering,2nd Year,Below 2.5,Agree,Strongly Agree,Strongly agree,Neutral,Strongly agree,Strongly Agree,Strongly agree,Agree,Strongly agree,Strongly agree
5/1/2026 12:29:22,Female,21-23,Computer Science / IT,4th Year,3.0–3.5,Strongly agree,Strongly Agree,Strongly agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly disagree,Strongly agree,Strongly agree
5/1/2026 12:31:13,Male,18-20,Engineering,2nd Year,Below 2.5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree
5/1/2026 12:32:02,Male,21-23,Engineering,2nd Year,3.0–3.5,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Agree
5/1/2026 12:32:55,Female,21-23,Computer Science / IT,4th Year,3.0–3.5,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral
5/1/2026 13:08:15,Female,21-23,Computer Science / IT,2nd Year,3.0–3.5,Strongly agree,Strongly Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly Agree,Strongly agree,Disagree,Strongly agree,Neutral
5/1/2026 13:50:16,Male,21-23,Statistics with data science ,4th Year,2.5–3.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree
5/1/2026 15:33:00,Male,18-20,Computer Science / IT,2nd Year,2.5–3.0,Agree,Agree,Neutral,Strongly Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neutral
5/1/2026 16:57:12,Female,21-23,Computer Science / IT,4th Year,3.5- 4.0,Strongly agree,Strongly Agree,Neutral,Disagree,Strongly agree,Strongly Agree,Agree,Strongly agree,Strongly agree,Neutral
5/2/2026 12:40:03,Male,18-20,Engineering,1st Year,3.5- 4.0,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
5/2/2026 16:47:10,Male,21-23,Engineering,2nd Year,3.0–3.5,Strongly agree,Strongly Agree,Strongly disagree,Neutral,Strongly disagree,Strongly Agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree
5/2/2026 22:39:36,Female,21-23,Computer Science / IT,2nd Year,3.0–3.5,Agree,Strongly Agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Disagree,Neutral
5/3/2026 0:45:35,Female,18-20,Computer Science / IT,2nd Year,3.5- 4.0,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree
5/4/2026 19:06:17,Prefer not to say,21-23,Engineering,3rd Year,3.5- 4.0,Neutral,Strongly Agree,Disagree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Neutral,Neutral
5/4/2026 20:51:46,Female,21-23,Business / Economics,2nd Year,2.5–3.0,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly agree,Neutral,Strongly agree,Strongly agree
5/5/2026 21:18:39,Male,21-23,Engineering,2nd Year,Below 2.5,Agree,Agree,Strongly disagree,Neutral,Strongly agree,Strongly Disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree
5/6/2026 10:15:46,Male,18-20,Computer Science / IT,2nd Year,3.5- 4.0,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly disagree,Strongly Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
5/6/2026 10:45:51,Male,21-23,Computer Science / IT,4th Year,2.5–3.0,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
5/6/2026 10:49:03,Male,18-20,Computer Science / IT,1st Year,3.0–3.5,Strongly agree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Disagree
5/6/2026 10:55:10,Male,18-20,Computer Science / IT,2nd Year,3.0–3.5,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree
5/6/2026 11:07:33,Male,21-23,Business / Economics,3rd Year,3.0–3.5,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree
5/6/2026 11:09:03,Male,18-20,Computer Science / IT,4th Year,3.0–3.5,Agree,Agree,Strongly disagree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Agree
5/9/2026 14:20:26,Female,18-20,Computer Science / IT,2nd Year,3.0–3.5,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree
5/9/2026 14:25:31,Female,18-20,Medical / Biology,1st Year,3.0–3.5,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree
5/9/2026 14:35:41,Male,24-26,Business / Economics,3rd Year,3.0–3.5,Disagree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Strongly disagree,Neutral
5/9/2026 14:36:15,Female,27+,Medical / Biology,2nd Year,3.5- 4.0,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral
5/9/2026 14:36:45,Female,24-26,Engineering,4th Year,2.5–3.0,Disagree,Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Strongly disagree,Disagree,Disagree
5/9/2026 14:37:17,Male,21-23,Arts / Humanities,4th Year,2.5–3.0,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Strongly disagree,Agree
5/9/2026 14:38:22,Female,18-20,Business / Economics,5th Year,3.5- 4.0,Neutral,Strongly Agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Agree,Disagree,Neutral,Agree
5/9/2026 14:40:09,Female,27+,Engineering,4th Year,3.0–3.5,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly Disagree,Strongly disagree,Agree,Agree
5/9/2026 14:40:57,Male,21-23,Medical / Biology,3rd Year,3.5- 4.0,Agree,Strongly Agree,Strongly disagree,Agree,Neutral,Agree,Neutral,Strongly disagree,Neutral,Neutral
5/9/2026 14:41:51,Female,18-20,Arts / Humanities,1st Year,2.5–3.0,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly disagree,Agree,Strongly agree
5/9/2026 14:42:46,Female,18-20,Engineering,1st Year,3.5- 4.0,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Neutral,Strongly disagree,Disagree,Neutral
5/9/2026 14:43:48,Female,21-23,Business / Economics,2nd Year,2.5–3.0,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Strongly agree,Neutral,Disagree,Neutral
5/10/2026 20:33:20,Male,18-20,Medical / Biology,1st Year,3.5- 4.0,Agree,Strongly Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly Agree,Strongly agree,Strongly disagree,Strongly agree,Neutral
5/10/2026 20:55:43,Male,18-20,Medical / Biology,1st Year,3.5- 4.0,Strongly agree,Strongly Agree,Neutral,Neutral,Strongly disagree,Strongly Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree
5/10/2026 21:37:16,Male,18-20,Medical / Biology,3rd Year,2.5–3.0,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree
5/10/2026 21:38:32,Prefer not to say,21-23,Engineering,4th Year,3.5- 4.0,Disagree,Agree,Strongly agree,Neutral,Strongly disagree,Neutral,Agree,Neutral,Disagree,Disagree
5/10/2026 21:39:07,Female,under 18,Arts / Humanities,3rd Year,2.5–3.0,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Neutral,Strongly Disagree,Strongly agree,Neutral,Strongly disagree
5/10/2026 21:39:40,Male,18-20,Medical / Biology,5th Year,2.5–3.0,Disagree,Disagree,Disagree,Strongly agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree
5/10/2026 21:40:03,Female,18-20,Business / Economics,3rd Year,3.0–3.5,Neutral,Disagree,Agree,Strongly Disagree,Strongly agree,Agree,Disagree,Strongly agree,Neutral,Disagree
5/10/2026 21:40:26,Female,18-20,Engineering,1st Year,3.0–3.5,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Agree,Strongly disagree
5/10/2026 21:40:51,Female,18-20,Computer Science / IT,4th Year,3.0–3.5,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly Agree,Strongly agree,Strongly disagree,Neutral,Disagree
5/10/2026 21:41:27,Female,21-23,Engineering,2nd Year,2.5–3.0,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
5/13/2026 10:56:01,Male,21-23,Computer Science / IT,2nd Year,3.5- 4.0,Agree,Strongly Agree,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly agree,Disagree,Disagree,Neutral
5/14/2026 20:42:02,Female,24-26,Engineering,3rd Year,2.5–3.0,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Disagree
5/14/2026 20:43:16,Male,24-26,Medical / Biology,5th Year,3.5- 4.0,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Neutral,Neutral
5/19/2026 17:44:48,Female,21-23,Medical / Biology,2nd Year,2.5–3.0,Strongly agree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Neutral,Neutral,Disagree
5/19/2026 17:45:15,Male,21-23,Engineering,3rd Year,3.0–3.5,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree
5/19/2026 17:45:38,Male,21-23,Medical / Biology,3rd Year,3.0–3.5,Neutral,Strongly Agree,Strongly disagree,Strongly agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral
5/19/2026 17:46:05,Male,18-20,Medical / Biology,4th Year,3.0–3.5,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly disagree
5/19/2026 17:46:26,Male,21-23,Business / Economics,5th Year,3.5- 4.0,Agree,Agree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Strongly disagree
5/19/2026 17:46:52,Female,21-23,Arts / Humanities,3rd Year,3.0–3.5,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree
5/19/2026 17:47:20,Male,21-23,Business / Economics,4th Year,3.0–3.5,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral
5/19/2026 17:47:42,Male,24-26,Business / Economics,3rd Year,2.5–3.0,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Disagree
5/19/2026 17:48:04,Female,24-26,Engineering,5th Year,3.5- 4.0,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Disagree
5/19/2026 17:51:01,Female,21-23,Computer Science / IT,3rd Year,3.0–3.5,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Disagree
5/19/2026 17:51:25,Female,21-23,Computer Science / IT,2nd Year,3.0–3.5,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree
5/19/2026 17:51:47,Female,21-23,Computer Science / IT,4th Year,3.0–3.5,Disagree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Agree
5/19/2026 17:52:15,Female,24-26,Computer Science / IT,3rd Year,2.5–3.0,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree
5/19/2026 18:02:53,Female,18-20,Business / Economics,4th Year,2.5–3.0,Strongly agree,Strongly Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5/19/2026 18:04:51,Male,under 18,Engineering,2nd Year,3.0–3.5,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Agree
5/19/2026 18:07:56,Female,21-23,Medical / Biology,3rd Year,3.0–3.5,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Neutral
5/19/2026 18:08:57,Male,24-26,Arts / Humanities,4th Year,3.0–3.5,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree
5/19/2026 18:10:34,Female,21-23,Business / Economics,2nd Year,2.5–3.0,Strongly Disagree,Strongly Agree,Strongly agree,Neutral,Strongly agree,Strongly Disagree,Neutral,Strongly agree,Strongly agree,Neutral
5/19/2026 18:11:33,Prefer not to say,under 18,Computer Science / IT,1st Year,3.0–3.5,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree
5/19/2026 19:35:42,Male,18-20,Medical / Biology,3rd Year,3.5- 4.0,Disagree,Disagree,Neutral,Neutral,Strongly agree,Strongly Agree,Strongly agree,Neutral,Strongly agree,Strongly agree
5/19/2026 19:36:19,Male,21-23,Business / Economics,2nd Year,3.0–3.5,Disagree,Neutral,Neutral,Disagree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Neutral,Strongly agree
5/19/2026 19:36:56,Male,24-26,Engineering,3rd Year,3.0–3.5,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Strongly disagree
5/19/2026 19:37:25,Female,21-23,Arts / Humanities,4th Year,3.5- 4.0,Neutral,Disagree,Disagree,Strongly agree,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Agree
5/19/2026 19:37:57,Female,24-26,Computer Science / IT,4th Year,3.0–3.5,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly agree,Neutral,Strongly Disagree,Strongly agree,Disagree,Strongly disagree
5/19/2026 19:38:30,Female,21-23,Engineering,3rd Year,3.0–3.5,Disagree,Strongly Agree,Strongly disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly agree,Strongly disagree
5/19/2026 20:28:21,Female,21-23,Computer Science / IT,4th Year,3.0–3.5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
